"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"88",Mar 2013,"CHINA",679020,2767968,NA,0,2013,3,0
"89",Mar 2013,"PHILIPPINES",26326,156022,NA,0,2013,3,0
"90",Mar 2013,"THAILAND",2400,7967,NA,0,2013,3,0
"91",Mar 2013,"VIETNAM",6935857,20455214,NA,0,2013,3,0
"92",Apr 2013,"BURMA",784,6665,NA,0,2013,4,0
"93",Apr 2013,"CHINA",568572,1978363,NA,0,2013,4,0
"94",Apr 2013,"PHILIPPINES",6715,40834,NA,0,2013,4,0
"95",Apr 2013,"THAILAND",900,2895,NA,0,2013,4,0
"96",Apr 2013,"VIETNAM",7695282,22413611,NA,0,2013,4,0
"97",May 2013,"BRAZIL",6146,19512,NA,0,2013,5,0
"98",May 2013,"CANADA",175,2025,NA,0,2013,5,0
"99",May 2013,"CHILE",4808,53715,NA,0,2013,5,0
"100",May 2013,"CHINA",1116231,4102610,NA,0,2013,5,0
"101",May 2013,"MEXICO",1406,3270,NA,0,2013,5,0
"102",May 2013,"PHILIPPINES",26898,156025,NA,0,2013,5,0
"103",May 2013,"THAILAND",3610,9356,NA,0,2013,5,0
"104",May 2013,"VIETNAM",10308669,31818339,NA,0,2013,5,0
"105",Jun 2013,"CHINA",932154,3696792,NA,0,2013,6,0
"106",Jun 2013,"NORWAY",1192,3278,NA,0,2013,6,0
"107",Jun 2013,"PHILIPPINES",11119,63133,NA,0,2013,6,0
"108",Jun 2013,"VIETNAM",11723420,36358929,NA,0,2013,6,0
"109",Jul 2013,"BURMA",3911,22975,NA,0,2013,7,0
"110",Jul 2013,"CANADA",1074,18854,NA,0,2013,7,0
"111",Jul 2013,"CHINA",477012,1813612,NA,0,2013,7,0
"112",Jul 2013,"INDIA",2449,8100,NA,0,2013,7,0
"113",Jul 2013,"NORWAY",1340,3216,NA,0,2013,7,0
"114",Jul 2013,"THAILAND",1240,4139,NA,0,2013,7,0
"115",Jul 2013,"VIETNAM",12241854,39012855,NA,0,2013,7,0
